Date,ts_polarity,twitter_volume
2016-01-01,0.11969256317245512,417
2016-01-02,0.1407741621369437,495
2016-01-03,0.18113163539625915,518
2016-01-04,0.0703887781058001,1133
2016-01-05,0.13363478990194652,1430
2016-01-06,0.07204193579609786,1949
2016-01-07,0.07436947959090122,2289
2016-01-08,0.05159477395411488,2235
2016-01-09,0.03234205961658576,892
2016-01-10,0.14592163403126968,625
2016-01-11,0.01944324968507005,1222
2016-01-12,0.12136357116938168,1293
2016-01-13,0.10771386594060237,1292
2016-01-14,0.039248107597894655,1264
2016-01-15,0.09378402846369974,1336
2016-01-16,0.08654932051349712,732
2016-01-17,0.1759431715529276,416
2016-01-18,0.16688957563567428,585
2016-01-19,0.12058492836609053,960
2016-01-20,0.02467865707941691,1412
2016-01-21,0.12454607888788526,1082
2016-01-22,0.0962731562321936,1200
2016-01-23,0.1039791873814763,829
2016-01-24,0.11110274333018684,416
2016-01-25,0.059140380202586273,874
2016-01-26,0.06045071581364848,1743
2016-01-27,0.058255708742436164,5511
2016-01-28,0.05121133933378536,2143
2016-01-29,0.0823940465126845,1542
2016-01-30,0.07789299288989493,1009
2016-01-31,-0.07250020041686728,333
2016-02-01,0.03731382930910565,660
2016-02-02,0.09529031486440187,1410
2016-02-03,0.09270359677316244,999
2016-02-04,0.12324569850561935,1114
2016-02-05,0.11040622321633843,823
2016-02-06,0.11398967740540746,598
2016-02-07,0.14967622958784574,366
2016-02-08,0.061634278052520364,795
2016-02-09,0.09907132574146377,1188
2016-02-10,0.07352761698037387,1045
2016-02-11,0.07148689490356158,1194
2016-02-12,0.053296592296592234,1014
2016-02-13,0.07920804286964278,1148
2016-02-14,-0.02086141772617195,523
2016-02-15,0.10594208619065223,762
2016-02-16,0.04112649767228277,1272
2016-02-17,0.03995790227918733,2215
2016-02-18,0.03798725963527039,2418
2016-02-19,0.05731492928798033,2226
2016-02-20,0.06583586131080382,2180
2016-02-21,0.12060875152081013,756
2016-02-22,0.06587195512548477,1536
2016-02-23,0.05971364394441525,2078
2016-02-24,0.017401049968643282,1843
2016-02-25,-0.030528219051345677,1839
2016-02-26,0.01964566558632369,2319
2016-02-27,0.027827356503595302,1277
2016-02-28,0.028766413122345038,541
2016-02-29,0.27416057332023724,152
2016-03-01,0.042562765847668736,1427
2016-03-02,0.05384871326934088,1876
2016-03-03,0.03997778615212852,1536
2016-03-04,0.036094008337988426,1893
2016-03-05,0.09601692912508286,806
2016-03-06,0.16460762662199424,517
2016-03-07,-0.04232458806525352,1116
2016-03-08,-0.025117230616827132,1703
2016-03-09,0.013739813980543636,1113
2016-03-10,0.02206026659644084,1289
2016-03-11,-0.036876300891827085,1817
2016-03-12,-0.035632183988698614,877
2016-03-13,0.010582152166829506,303
2016-03-14,0.06352649705226149,868
2016-03-15,0.07784403846880683,1446
2016-03-16,-0.059234495689176374,1561
2016-03-17,0.015097425899495753,1911
2016-03-18,0.04558523544925011,1406
2016-03-19,0.0576276720069239,739
2016-03-20,-0.026932768447845312,531
2016-03-21,0.0030230313056911484,3052
2016-03-22,0.05997579596270582,3841
2016-03-23,0.044769641665340136,1866
2016-03-24,0.07502267776263871,1883
2016-03-25,-0.012269332501983754,1222
2016-03-26,0.020542811975738373,510
2016-03-27,0.039101650733525666,395
2016-03-28,0.02375449240954477,1086
2016-03-29,0.06363899846001661,2138
2016-03-30,0.11108308087888036,2037
2016-03-31,0.04115141743403145,536
2016-04-01,0.04821962491022175,1066
2016-04-02,0.07139744328176814,748
2016-04-03,0.16997543124994088,450
2016-04-04,0.12888290874036454,1124
2016-04-05,0.05683211572947861,1541
2016-04-06,0.05651491073455767,1287
2016-04-07,0.063461089386155,1354
2016-04-08,0.04703457612300799,1359
2016-04-09,-0.0048612977582401795,775
2016-04-10,0.11833859563638968,385
2016-04-11,0.08128325925983643,841
2016-04-12,0.10004848412782133,1226
2016-04-13,0.1329254126116282,1283
2016-04-14,0.07164265328392766,1315
2016-04-15,0.06897880407842223,1791
2016-04-16,0.02550011290702525,1084
2016-04-17,0.04849488839488797,428
2016-04-18,0.0547061869475442,1127
2016-04-19,0.08339353633718305,2051
2016-04-20,0.08460187543464989,1392
2016-04-21,0.09616358762409376,1314
2016-04-22,0.104014181260349,1663
2016-04-23,0.024470077586199845,910
2016-04-24,0.09598590635749253,416
2016-04-25,0.10391916419633232,1145
2016-04-26,0.044244268293568034,2086
2016-04-27,0.017513110712808422,7083
2016-04-28,0.012646542195659194,2798
2016-04-29,0.04889779501016733,3014
2016-04-30,0.03588005050505033,471
2016-05-01,0.0054563745016820145,297
2016-05-02,-0.010477500388142214,1183
2016-05-03,0.04036857297322116,2439
2016-05-04,0.070345586428121,2011
2016-05-05,0.046769792262759236,1654
2016-05-06,0.022494534313742487,2110
2016-05-07,0.06447091277891656,760
2016-05-08,-0.007213287784934297,427
2016-05-09,0.10517379957692732,920
2016-05-10,0.053812376480229684,1377
2016-05-11,0.06070478022011527,1350
2016-05-12,0.06487870002345922,2486
2016-05-13,0.06405698647097885,2550
2016-05-14,0.09930652173877916,897
2016-05-15,0.01711945634696055,340
2016-05-16,0.07747812316901945,2587
2016-05-17,0.030325317695175488,2553
2016-05-18,0.07861064997137743,1847
2016-05-19,0.09051449944428658,1528
2016-05-20,0.048872776062411416,1587
2016-05-21,0.00559435913198031,911
2016-05-22,0.0613954290561432,457
2016-05-23,0.07255738972125311,1226
2016-05-24,0.07492501770712698,1699
2016-05-25,0.07353117733671544,1957
2016-05-26,0.052448637149732864,1805
2016-05-27,0.07073069709361049,1414
2016-05-28,0.08385321920091418,495
2016-05-29,0.13520353467287435,208
2016-05-30,0.014188250923623025,601
2016-05-31,0.08344479790691914,285
2016-06-01,-0.0013141180857257349,822
2016-06-02,0.04461054509456111,1692
2016-06-03,0.04815793206789454,1338
2016-06-04,0.05325900280196039,501
2016-06-05,0.06065878286228483,246
2016-06-06,0.12261107904956098,749
2016-06-07,0.09184766837665044,1021
2016-06-08,0.07798372001459547,1026
2016-06-09,0.08203817494075596,1465
2016-06-10,0.1136245662532841,1454
2016-06-11,-0.007277676686889056,836
2016-06-12,0.11864989168333333,108
2016-06-13,0.025165661802232425,1200
2016-06-14,0.039990008536474685,3961
2016-06-15,0.09558998194668143,1666
2016-06-16,0.1022227843980637,1179
2016-06-17,0.04583770785380259,1271
2016-06-18,0.05654230469725208,483
2016-06-19,0.11321407820690553,1313
2016-06-20,0.1974768978265813,1119
2016-06-21,0.09863190158229046,1544
2016-06-22,-0.004961426945524039,1346
2016-06-23,0.0556809704674848,1020
2016-06-24,0.06902543244611165,1090
2016-06-25,0.04068501940684744,528
2016-06-26,0.02816885361458321,271
2016-06-27,0.05290396470594366,815
2016-06-28,0.030595398580109182,859
2016-06-29,0.02751525698324253,1029
2016-06-30,0.0029468335203192697,209
2016-07-01,0.06811165229643476,1002
2016-07-02,0.06097187920104585,671
2016-07-03,0.11153391435137476,269
2016-07-04,0.08376055528833304,492
2016-07-05,0.07554196855239406,809
2016-07-06,0.004156862298540898,1015
2016-07-07,0.007375009419837986,897
2016-07-08,0.040565473457519215,976
2016-07-09,0.1091647999699468,477
2016-07-10,0.09870090275578093,234
2016-07-11,0.07158736902579277,656
2016-07-12,0.05212049516406897,924
2016-07-13,0.05204988058303345,774
2016-07-14,0.07495905655487217,1276
2016-07-15,0.03955713990140329,944
2016-07-16,0.11703672541324965,560
2016-07-17,0.09373918463274902,287
2016-07-18,0.12973176384702362,1010
2016-07-19,0.009482630595777695,1170
2016-07-20,0.04353189757591003,1116
2016-07-21,0.05154287869989094,1345
2016-07-22,0.09339286330593694,1202
2016-07-23,0.14592376962791026,682
2016-07-24,0.13994929076539336,545
2016-07-25,0.09012693231153962,1213
2016-07-26,0.08624183521957449,1865
2016-07-27,0.06944741463115067,5173
2016-07-28,0.10338951382481806,2342
2016-07-29,0.06563347684235821,1570
2016-07-30,0.10645657453761788,780
2016-07-31,0.054985569985569915,110
2016-08-01,0.09207877186373743,812
2016-08-02,0.0986006623270584,1707
2016-08-03,0.11500034547473792,885
2016-08-04,0.06450075704204114,1513
2016-08-05,0.08174820159363957,1476
2016-08-06,-0.032940472880133964,683
2016-08-07,0.02126185246377571,467
2016-08-08,0.04538642529316511,1178
2016-08-09,0.07430940252557869,1563
2016-08-10,0.039455388094670696,1618
2016-08-11,0.06480255585002673,1677
2016-08-12,0.1254953467919154,992
2016-08-13,0.0903223409687312,586
2016-08-14,0.1553270150570067,482
2016-08-15,0.07702593304175337,1482
2016-08-16,0.06569614072518665,2193
2016-08-17,0.0758126324657426,1715
2016-08-18,-0.008066962088693286,1238
2016-08-19,0.06141727837022276,1345
2016-08-20,0.04612650179387423,830
2016-08-21,0.14619877985262594,477
2016-08-22,0.06213305240511177,1122
2016-08-23,0.02039610607353326,1331
2016-08-24,0.02772362783115495,1158
2016-08-25,0.04533552895538831,1733
2016-08-26,0.020983559293064943,1921
2016-08-27,0.08308742693894182,978
2016-08-28,0.1495036425530322,572
2016-08-29,-0.016925965256746167,1548
2016-08-30,-0.04748991128302649,4271
2016-08-31,-0.06165561915282086,1088
2016-09-01,0.03135911172290762,1774
2016-09-02,0.05584571637268276,2159
2016-09-03,0.048684716409121226,924
2016-09-04,0.057525988098829174,667
2016-09-05,0.04460480260480265,152
2016-09-06,0.08791149881965378,1117
2016-09-07,0.04006872938324932,4486
2016-09-08,0.02874217572690546,7025
2016-09-09,0.053575952059880916,5594
2016-09-10,0.03676960755051578,1811
2016-09-11,0.010888068561462572,727
2016-09-12,0.08188081937801264,1652
2016-09-13,0.051860540169655495,2522
2016-09-14,0.0745493168930759,3897
2016-09-15,0.11111425552402188,3610
2016-09-16,0.08422868278219213,3476
2016-09-17,0.1273057147187073,1366
2016-09-18,0.0999672459575056,695
2016-09-19,0.036759411140827314,1732
2016-09-20,0.12681945365319974,1809
2016-09-21,0.008016464933112033,2227
2016-09-22,0.07623745574080426,1756
2016-09-23,0.04043687939258928,1706
2016-09-24,0.05001924332523694,1176
2016-09-25,-0.018954449950000563,514
2016-09-26,0.06455570366347563,1211
2016-09-27,0.037265143152266034,1270
2016-09-28,0.07578678365285467,1423
2016-09-29,0.09290084249415864,1861
2016-09-30,0.022216970130083117,395
2016-10-01,0.023082066167582186,523
2016-10-02,0.12037438311247806,373
2016-10-03,0.06499135506071824,964
2016-10-04,0.0377031892012662,1197
2016-10-05,0.0585474770908585,1102
2016-10-06,0.057712018446347775,1289
2016-10-07,0.10807827043668156,951
2016-10-08,0.09636302786905176,379
2016-10-09,0.008248238175598888,276
2016-10-10,0.12267802848348668,875
2016-10-11,0.08021938219380725,1736
2016-10-12,0.11105687449193692,1506
2016-10-13,0.06872778526945293,1104
2016-10-14,0.09875989506276656,1005
2016-10-15,0.01580294248879793,584
2016-10-16,0.05013389358486325,355
2016-10-17,0.07936965981600548,972
2016-10-18,0.1103809488673332,1388
2016-10-19,-0.012141229430966266,1192
2016-10-20,0.07733531853792641,1149
2016-10-21,0.09024247068118724,974
2016-10-22,0.10283312097043636,594
2016-10-23,0.0965957574872619,570
2016-10-24,0.030617758034445,1165
2016-10-25,0.08624227847030302,1986
2016-10-26,0.08442807359809787,5213
2016-10-27,0.0474726427763516,2406
2016-10-28,-0.01213016513968937,2886
2016-10-29,0.12757480772773325,888
2016-10-30,0.0356347225908536,578
2016-10-31,-0.05783129370629364,175
2016-11-01,0.07740912262912232,1014
2016-11-02,0.04247582271523392,1375
2016-11-03,0.023721361574742028,1128
2016-11-04,0.09789107356125436,1026
2016-11-05,-0.06196398093287536,608
2016-11-06,0.056025208797935766,285
2016-11-07,0.07805454103495732,948
2016-11-08,-0.035360772698994215,1032
2016-11-09,-0.0024981684053334567,1135
2016-11-10,0.07822185413487293,1140
2016-11-11,0.08901580378196018,978
2016-11-12,0.06628205497221429,584
2016-11-13,0.14043284347231705,373
2016-11-14,0.04546488486528194,925
2016-11-15,0.02085461656281612,1332
2016-11-16,-0.007080613198018894,1366
2016-11-17,0.04466750326845842,1139
2016-11-18,0.06090443180386493,1111
2016-11-19,-0.010305530570000054,822
2016-11-20,0.1010653786285246,439
2016-11-21,0.012415252089302664,1169
2016-11-22,0.05483976381406674,1207
2016-11-23,0.13493400063799407,1011
2016-11-24,0.08281921230315703,694
2016-11-25,0.16816686489576074,816
2016-11-26,0.2177409321734032,433
2016-11-27,0.10581479182582126,354
2016-11-28,0.1301195045198144,859
2016-11-29,0.12469860469995815,1156
2016-11-30,0.14727176712176726,330
2016-12-01,0.10123922144114812,768
2016-12-02,0.05002366517458351,996
2016-12-03,0.10371707608114852,823
2016-12-04,0.1353685715993407,444
2016-12-05,0.05715650545165792,744
2016-12-06,0.1403559099613682,1125
2016-12-07,0.11090684462405563,1631
2016-12-08,0.0829936631865299,1655
2016-12-09,0.06318718984380968,1344
2016-12-10,0.09541577194850998,732
2016-12-11,0.17225038884813293,399
2016-12-12,0.14827353612296787,724
2016-12-13,0.03244551679546753,1641
2016-12-14,0.06947301150619936,1523
2016-12-15,0.07022479207566826,1156
2016-12-16,0.13221597002498411,1120
2016-12-17,0.09476368839096323,610
2016-12-18,0.02442868180156321,329
2016-12-19,0.1223590668121764,779
2016-12-20,0.11503847204725325,1014
2016-12-21,0.04148526792420354,1023
2016-12-22,0.08802871843564486,1031
2016-12-23,0.0665126410748737,794
2016-12-24,0.053489145658263126,367
2016-12-25,0.18893330768330774,194
2016-12-26,0.09977381025758414,489
2016-12-27,0.054105297772388095,699
2016-12-28,0.012954809055467031,800
2016-12-29,0.1387016023376696,835
2016-12-30,0.0018564817321514715,788
2016-12-31,0.1356069123453576,383
2017-01-01,0.17739491691104586,202
2017-01-02,0.1419503339253337,469
2017-01-03,-0.017952098504423863,739
2017-01-04,0.08938336280758953,830
2017-01-05,0.02173562141454316,1337
2017-01-06,0.11313856365907528,1265
2017-01-07,0.05184047439614353,857
2017-01-08,0.09972361759595784,436
2017-01-09,0.13893876443104478,1120
2017-01-10,0.07235395222241159,1411
2017-01-11,-0.00499133202974672,1189
2017-01-12,0.1075702057376582,1284
2017-01-13,0.04550292924481253,1175
2017-01-14,0.12292766056401573,575
2017-01-15,0.10348988096906672,450
2017-01-16,0.1240768904880826,411
2017-01-17,0.1037227887078769,955
2017-01-18,0.04051102936338963,993
2017-01-19,0.05440731580143426,1015
2017-01-20,0.14374852077864134,730
2017-01-21,0.0794686840055886,632
2017-01-22,0.13986651364349514,532
2017-01-23,0.03453373402591048,931
2017-01-24,0.10808049037524664,1098
2017-01-25,0.05579257816377911,1247
2017-01-26,0.0311285361487888,1194
2017-01-27,0.024594095929777127,907
2017-01-28,0.04856584087245941,528
2017-01-29,0.1057222428055763,428
2017-01-30,0.07312603634651843,962
2017-01-31,0.18327863179903964,392
2017-02-01,0.08451143210739215,2816
2017-02-02,0.06722594457299749,2088
2017-02-03,0.05600837776803341,1360
2017-02-04,0.14729371091871066,662
2017-02-05,0.03901423800214104,474
2017-02-06,0.034432109281751555,872
2017-02-07,0.06266886526881854,1254
